Classic Smashburger (Single),1,640,14,41,3,30
Classic Smashburger (Double),1,990,26,42,3,54
Classic Grilled Chicken Sandwich,1,470,8,36,3,34
Bacon Smashburger (Single),1,690,17,35,3,33 
Bacon Smashburger (Double),1,1090,30,36,3,60
Bacon Smash Grilled Chicken Sandwich,1,610,13,35,3,40
Truffle Mushroom Swiss Burger (Single),1,680,18,32,3,35
Truffle Mushroom Swiss Burger (Double),1,1050,31,33,3,64
Truffle Mushroom Swiss Grilled Chicken Sandwich,1,810,16,55,4,46
Avocado Bacon Club Burger (Single),1,670,14,36,3,30
Avocado Bacon Club Burger (Double),1,930,22,36,5,50
Avocado Bacon Club Grilled Chicken Sandwich,1,580,10,37,5,36
Crispy Chicken Sandwich,1,690,10,58,4,38
Crispy Chicken Strips,4,380,7,33,3,24 
Harvest Salad,1,470,32,39,22,42
Cobb Salad,1,310,11,8,3,20
Smash Fries,Regular,420,6,53,3,4
French Fries,Regular,370,5,56,4,4
Sweet Potato Fries,Regular,440,8,61,8,4
Tots,Regular,240,3,29,3,3
Smash Tots,Regular,350,4,29,3,3
Vanilla Shake,1 Shake,790,28,74,0,13
Chocolate Shake,1 Shake,790,28,73,1,13
Strawberry Shake,1 Shake,780,28,70,0,13
Oreo Shake,1 Shake,860,30,78,1,15
