Orange Chicken Bowl,1 Each,722,29,93,15,29
Thai BBQ Chicken,1 Each,647,27,77,11,26
Lemongrass Tofu,1 Each,390,8,65,8,12
Thai Chicken Curry Bowl,1 Each,23,78,13,19
Chicken Pho w/Chicken Broth,1 Each,379,4,64,1,19
Chicken Pho w/Vegetable Broth,1 Each,465,7,79,12,18
Tofu Pho w/Chicken Broth,1 Each,377,5,65,1,14
Tofu Pho w/Vegetable Broth,1 Each,462,9,80,12,13
Potsticker,1 Potsticker,240,7,29,2,13
Egg Roll,1 Roll,79,8,3,0,0
Tofu Poke Bowl,1 Bowl,220,10,26,8,9
Shrimp Poke Bowl,1 Bowl,230,10,28,8,6
Fresh Salmon Poke Bowl,1 Bowl,300,15,30,5,11
Seared Tuna Poke Bowl,1 Bowl,270,9,34,8,11
Sushi Tuna Poke Bowl,1 Bowl,270,9,34,8,11
California Roll,2 Rolls,130,2,25,6,3
Spicy Crab Roll,2 Rolls,170,4,28,10,4
Shrimp Tempura Roll,2 Rolls,150,4,27,8,5
Spicy Tuna Roll,2 Roll,160,5,21,5,7
Veggie Roll,2 Roll,120,2,24,6,2
